name,code,sectors,products
아이센스,099190,의료용 기기 제조업,"혈당측정스트립, 혈당측정기기 등"
아이씨디,040910,특수 목적용 기계 제조업,"건식세정기,LCD,반도체 장비,광정보통신 부품,장비 제조,연구개발,용역 서비스,수출입"
아이씨케이,068940,전자부품 제조업,신용카드 및 전자화폐 등
아이원스,114810,특수 목적용 기계 제조업,"반도체 장비 부품 제조 및 세정, LCD 장비 부품 제조"
아이즈비전,031310,전기 통신업,"홈쇼핑(아이즈홈쇼핑), 국제전화(아이즈텔), 가정용유무선 전화기판매(TopPhone)"
아이티센,124500,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",시스템통합 및 IT서비스
알리코제약,260660,의료용품 및 기타 의약 관련제품 제조업,완제 의약품
알에프세미,096610,반도체 제조업,"ECM, DIODE, LED Light"
알에프텍,061040,통신 및 방송 장비 제조업,"핸드폰 충전기, 핸즈프리"
알테오젠,196170,자연과학 및 공학 연구개발업,바이오시밀러 및 바이오베터
에스아이리소스,065420,석탄 광업,자카드직물
에스코넥,096630,통신 및 방송 장비 제조업,WaferProber
에쎈테크,043340,일반 목적용 기계 제조업,LPG밸브
에이루트,096690,컴퓨터 및 주변장치 제조업,"POS프린터, Mobile프린터, Label프린터"
에이티넘인베스트,021080,신탁업 및 집합투자업,벤처캐피탈
에코프로비엠,247540,일차전지 및 축전지 제조업,양극활물질
엑세스바이오,950130,의료용품 및 기타 의약 관련제품 제조업,"말라리아 진단키트(RDT), HIV 진단키트(RDT)"
엑시콘,092870,특수 목적용 기계 제조업,반도체 검사장비
엔터메이트,206400,소프트웨어 개발 및 공급업,"웹게임, 모바일게임"
엔피케이,048830,합성고무 및 플라스틱 물질 제조업,합성고무 및 플라스틱물질 제조업
엘앤케이바이오,156100,의료용 기기 제조업,척추 임플란트
엠게임,058630,소프트웨어 개발 및 공급업,"온라인 게임 개발 및 퍼블리싱(열혈강호온라인,홀릭2,영웅)"
엠벤처투자,019590,신탁업 및 집합투자업,벤처캐피탈
엠씨넥스,097520,영상 및 음향기기 제조업,휴대폰용자동차용 카메라모듈
영화테크,265560,자동차 신품 부품 제조업,자동차 정션박스 등
오공,045060,기타 화학제품 제조업,"접착제,씰란트,광택제,연마제"
오픈베이스,049480,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","트래픽솔루션(웹스위치,트래픽서버)"
옵티시스,109080,통신 및 방송 장비 제조업,광링크 모듈 등
와이지-원,019210,기타 금속 가공제품 제조업,"엔드밀, 탭, 드릴"
우리바이오,082850,전구 및 조명장치 제조업,"LCD광원부품(CCFL,EEFL)"
원익QnC,074600,유리 및 유리제품 제조업,석영유리가공제품
원익큐브,014190,기타 전문 도매업,"이에이엠, 2-헤마, 비에이엠, 엠엠에이, 아스팔트슁글"
